Question,Segment Type,Segment Description,Answer,Count,Percentage
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Post-grad,Instagram,97,0.274
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Post-grad,Facebook,74,0.209
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Post-grad,Snapchat,170,0.48
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Post-grad,Linkedin,13,0.037
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,College,Instagram,1116,0.265
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,College,Facebook,711,0.169
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,College,Snapchat,2265,0.537
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,College,Linkedin,127,0.03
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Other,Instagram,14,0.438
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Other,Facebook,4,0.125
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Other,Snapchat,13,0.406
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Other,Linkedin,1,0.031
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Grad School,Instagram,80,0.327
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Grad School,Facebook,34,0.139
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Grad School,Snapchat,125,0.51
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Grad School,Linkedin,6,0.024
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,High School,Instagram,360,0.266
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,High School,Facebook,85,0.063
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,High School,Snapchat,892,0.659
"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,High School,Linkedin,17,0.013
